Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.63346E-3,65.811916554,0.672481205,0.015936255,0.55,0.529411765
1.6445E-3,66.140604141,0.673963747,0.015737052,0.55,0.588235294
1.64604E-3,66.305208516,0.674169342,0.01563745,0.55,0.588235294
1.65173E-3,66.534797984,0.674926858,0.015438247,0.55,0.588235294
1.66867E-3,66.802474331,0.677161425,0.015338645,0.55,0.647058824
1.66963E-3,67.136382092,0.677286714,0.015139442,0.55,0.647058824
1.67122E-3,67.303503837,0.677494496,0.015039841,0.55,0.647058824
1.67449E-3,67.638119554,0.67792174,0.014840637,0.575,0.647058824
1.67653E-3,67.80577268,0.678187733,0.014741036,0.575,0.647058824
1.68075E-3,68.034311888,0.678735496,0.014541833,0.575,0.647058824
1.6865E-3,68.310636583,0.679480721,0.014442231,0.575,0.705882353
1.69073E-3,68.648653012,0.680025491,0.014243028,0.575,0.705882353
1.69306E-3,68.817958863,0.680324943,0.014143426,0.575,0.705882353
1.70252E-3,69.158216523,0.681535153,0.013944223,0.575,0.705882353
1.70425E-3,69.328641844,0.681756527,0.013844622,0.575,0.705882353
1.7124E-3,69.670689013,0.682790578,0.013645418,0.575,0.705882353
1.71427E-3,69.842116059,0.683026711,0.013545817,0.575,0.705882353
1.71498E-3,70.013614159,0.683116421,0.013446215,0.575,0.705882353
1.71648E-3,70.356783139,0.683304961,0.013247012,0.575,0.705882353
1.71762E-3,70.52854478,0.68344872,0.01314741,0.575,0.705882353
1.72035E-3,70.872534086,0.683792687,0.012948207,0.575,0.705882353
1.72899E-3,71.045432806,0.684874504,0.012848606,0.575,0.705882353
1.74235E-3,71.39309526,0.686533897,0.012649402,0.575,0.705882353
1.74339E-3,71.567434668,0.686662643,0.012549801,0.575,0.705882353
1.74822E-3,71.91704676,0.687256504,0.012350598,0.575,0.705882353
1.75068E-3,72.092114454,0.687558869,0.012250996,0.575,0.705882353
1.75948E-3,72.268062438,0.688635333,0.012151394,0.575,0.705882353
1.76732E-3,72.621184278,0.689588125,0.011952191,0.6,0.705882353
1.76978E-3,72.798162676,0.68988599,0.01185259,0.6,0.705882353
1.78123E-3,73.153449654,0.69126391,0.011653386,0.6,0.705882353
1.78388E-3,73.331837628,0.691580668,0.011553785,0.6,0.705882353
1.78421E-3,73.510258797,0.691620353,0.011454183,0.6,0.705882353
1.78923E-3,73.867643412,0.692218509,0.01125498,0.6,0.705882353
1.78945E-3,74.04658866,0.692245559,0.011155378,0.6,0.705882353
1.79564E-3,74.40551438,0.6929802,0.010956175,0.6,0.705882353
1.79669E-3,74.58518382,0.69310533,0.010856574,0.6,0.705882353
1.81003E-3,74.766186971,0.694676225,0.010756972,0.625,0.705882353
1.81863E-3,75.129657431,0.695680656,0.010557769,0.625,0.705882353
1.82445E-3,75.312102321,0.696356372,0.010458167,0.625,0.705882353
1.82998E-3,75.67797439,0.696996413,0.010258964,0.625,0.705882353
1.83122E-3,75.861096128,0.697138783,0.010159363,0.625,0.705882353
1.84218E-3,76.045314248,0.698397638,0.010059761,0.625,0.705882353
1.84909E-3,76.414973818,0.699185211,0.009860558,0.625,0.705882353
1.85046E-3,76.600019858,0.699341335,0.009760956,0.625,0.705882353
1.85247E-3,76.785267059,0.699569736,0.009661355,0.625,0.705882353
1.86295E-3,77.076481037,0.700753625,0.009462151,0.65,0.705882353
1.87661E-3,77.345346964,0.702283064,0.00936255,0.65,0.764705882
1.87715E-3,77.53306162,0.702343338,0.009262948,0.65,0.764705882
1.90548E-3,77.912620774,0.705465522,0.009063745,0.65,0.764705882
1.90825E-3,78.103445446,0.705767112,0.008964143,0.65,0.764705882
1.90962E-3,78.294407703,0.705916759,0.008864542,0.65,0.764705882
1.91562E-3,78.677335497,0.706567772,0.008665339,0.65,0.764705882
1.91712E-3,78.869047248,0.706729296,0.008565737,0.65,0.764705882
1.91892E-3,79.060939434,0.706924237,0.008466135,0.65,0.764705882
1.92124E-3,79.2530632,0.707174056,0.008366534,0.65,0.764705882
1.93789E-3,79.63973873,0.708957905,0.008167331,0.65,0.764705882
1.94285E-3,79.834023415,0.709484806,0.008067729,0.675,0.764705882
1.95018E-3,80.029041101,0.710260367,0.007968127,0.675,0.764705882
1.95395E-3,80.419557846,0.710658419,0.007768924,0.675,0.764705882
1.96827E-3,80.616384991,0.712157281,0.007669323,0.7,0.764705882
1.97005E-3,80.813389883,0.712342281,0.007569721,0.7,0.764705882
1.9824E-3,81.011630246,0.713621615,0.00747012,0.7,0.764705882
1.98615E-3,81.408557322,0.714007095,0.007270916,0.7,0.764705882
1.99866E-3,81.608422931,0.715287335,0.007171315,0.7,0.764705882
2.00044E-3,81.808467301,0.715469365,0.007071713,0.7,0.764705882
2.00147E-3,82.008614674,0.715574148,0.006972112,0.7,0.764705882
2.00294E-3,82.272516466,0.715722685,0.006772908,0.7,0.764705882
2.00714E-3,82.609978461,0.716148771,0.006673307,0.725,0.823529412
2.00809E-3,82.810787195,0.716245092,0.006573705,0.725,0.823529412
2.01267E-3,83.012054392,0.716708344,0.006474104,0.725,0.823529412
2.019E-3,83.415295215,0.717345387,0.0062749,0.725,0.823529412
2.02128E-3,83.617423657,0.717574508,0.006175299,0.75,0.823529412
2.0248E-3,83.81990378,0.717926675,0.006075697,0.75,0.823529412
2.02612E-3,84.022515829,0.718058559,0.005976096,0.75,0.823529412
2.053E-3,84.431488866,0.720718654,0.005776892,0.75,0.823529412
2.06175E-3,84.637663498,0.721573916,0.005677291,0.75,0.823529412
2.06351E-3,84.844014336,0.721745512,0.005577689,0.75,0.823529412
2.08594E-3,85.052608421,0.723911734,0.005478088,0.75,0.882352941
2.09259E-3,85.261867897,0.724547807,0.005378486,0.75,0.882352941
2.09752E-3,85.681042727,0.725016421,0.005179283,0.775,0.941176471
2.10257E-3,85.891299452,0.725495646,0.005079681,0.775,0.941176471
2.10766E-3,86.102065417,0.725977145,0.00498008,0.775,0.941176471
2.10823E-3,86.312887983,0.726030557,0.004880478,0.775,0.941176471
2.10975E-3,86.523862761,0.726174093,0.004780876,0.775,0.941176471
2.12032E-3,86.947273716,0.72716734,0.004581673,0.775,0.941176471
2.12169E-3,87.159443169,0.727295472,0.004482072,0.775,0.941176471
2.16943E-3,87.37638653,0.731686285,0.00438247,0.8,0.941176471
2.18466E-3,87.594852466,0.73305709,0.004282869,0.8,0.941176471
2.1958E-3,87.814432345,0.734051156,0.004183267,0.8,0.941176471
2.21694E-3,88.03612634,0.735917544,0.004083665,0.8,0.941176471
2.22989E-3,88.259114951,0.737047584,0.003984064,0.8,0.941176471
2.2372E-3,88.705829395,0.73768133,0.003784861,0.8,0.941176471
2.25971E-3,88.931800791,0.739614734,0.003685259,0.825,0.941176471
2.26679E-3,89.158479631,0.740216262,0.003585657,0.825,0.941176471
2.2803E-3,89.386510108,0.741357844,0.003486056,0.825,0.941176471
2.29863E-3,89.616373598,0.742890057,0.003386454,0.825,0.941176471
2.32863E-3,89.849236802,0.745358729,0.003286853,0.825,0.941176471
2.33527E-3,90.082764036,0.745898809,0.003187251,0.85,0.941176471
2.37052E-3,90.31981574,0.748727472,0.003087649,0.875,0.941176471
2.38768E-3,90.558583462,0.750082038,0.002988048,0.875,0.941176471
2.41407E-3,90.799990569,0.752137205,0.002888446,0.875,0.941176471
2.45838E-3,91.045828529,0.755512341,0.002788845,0.875,0.941176471
